Dataset,Years CE to sample from ,Member Pool,Sample Size (=months),Model Architecture,Variable,X_train,y_train (label),Training stored in
MPI-GE,1850–2005,100,20000,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128
CESM-LME,850–2005,13,20000,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128
20CRv3,1851–2015,ensmean,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_128_do01
20CRv3ens,1851–2015,81,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_128_do01
MPI-GE,1850–2005,100,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_128_do01
CESM-LME,850–2005,13,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_128_do01
20CRv3ens,1851–2015,81,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_128_do01
MPI-GE,1850–2005,100,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128_do01
CESM-LME,850–2005,13,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128_do01
20CRv3,1851–2015,ensmean,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_128_do02
20CRv3ens,1851–2015,81,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_128_do02
MPI-GE,1850–2005,100,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_128_do02
CESM-LME,850–2005,13,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_128_do02
20CRv3ens,1851–2015,81,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_128_do02
MPI-GE,1850–2005,100,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128_do02
CESM-LME,850–2005,13,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128_do02
MPI-GE,1850–2005,100,20000,PCR,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_PCR
